[2025-03-22 09:24:05] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: Code: 1, Name: 1, Requires Computers: true, CO: 1 (), CS: 1 (11), Tutorials: 11, Labs: 1, Status: FAILURE (Error: Provided courseCode is invalid)
[2025-03-22 09:39:10] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: Code: 1, Name: 1, Requires Computers: false, CO: 1 (1), CS: 11 (1), Tutorials: 11, Labs: 1, Status: FAILURE (Error: Provided courseCode is invalid)
[2025-03-22 09:44:24] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: , Status: FAILURE (Error: Required course info not provided)
[2025-03-22 09:44:51] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: , Status: FAILURE (Error: Required course info not provided)
[2025-03-22 09:46:12] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: Code: 1, Name: , Requires Computers: false, CO:  (), CS:  (), Tutorials: 1, Labs: 1, Status: FAILURE (Error: Provided courseCode is invalid)
[2025-03-22 09:52:31] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: 1, Status: FAILURE (Error: Required course info not provided)
[2025-03-22 09:54:54] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: , Status: FAILURE (Error: Required course info not provided)
[2025-03-22 09:55:11] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: , Status: FAILURE (Error: Required course info not provided)
[2025-03-22 09:57:09] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: , Status: FAILURE (Error: Required course info not provided)
[2025-03-22 09:57:13] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: , Status: FAILURE (Error: Required course info not provided)
[2025-03-22 09:57:17] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: , Status: FAILURE (Error: Required course info not provided)
[2025-03-22 10:07:08] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: requiresComputers, Status: FAILURE (Error: Required course info not provided)
[2025-03-22 10:07:16] User: admin1@hindeburg.ac.uk, Action: addCourse, Inputs: , Status: FAILURE (Error: Required course info not provided)
